,ave_PV_TIP3p,ave_PV_TIP4p,ave_PV_TIP4pew,ave_PV_TIP5p,,Ci_ave_TIP3p,Ci_ave_TIP4p,Ci_ave_TIP4pew,Ci_ave_TIP5p
ILE,4.41,4.85,4.87,4.25,,365413,404589,386534,376717
VAL,4.84,5.05,5.76,5.02,,401043,421273,457174,444969
CYS,4.03,5.89,6.62,5.61,,333927,491346,525432,497266
PHE,6.03,5.9,6.07,5.13,,499647,492180,481779,454719
PRO,6.59,4.52,5.98,4.23,,546049,377060,474635,374944
ALA,4.41,5.1,5.27,5.6,,365413,425444,418282,496380
THR,6.23,5.27,6.11,5.29,,516219,439626,484953,468901
LEU,4.54,5.2,4.39,4.91,,376185,433786,348436,435218
MET,5.65,5.69,5.71,5.69,,468160,474662,453205,504357
TRP,6.85,5.65,4.96,5.78,,567592,471325,393677,512335
ASN,5.84,6.78,7.71,6.56,,483904,565590,611946,581473
GLN,6.13,7.95,8.67,8.12,,507933,663192,688142,719750
GLY,6.04,7.36,6.01,5.76,,500476,613974,477016,510562
GLU,9.1,7.2,8.24,6.37,,754028,600627,654013,564632
TYR,8.35,6.33,6.63,6.65,,691883,528051,526226,589451
ILE,6.6,4.71,4.95,5.97,,546877,392910,392884,529176
ARG,8.35,7.62,8.07,9.54,,691883,635663,640520,845618
HIS,7.47,6.17,6.65,7.08,,618966,514704,527814,627566
ASP,7.35,7.3,7.73,7.6,,609022,608969,613534,673658
LYS,10,10,10,10,,828602,834204,793705,886392
